Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Saba Rajendran    ,DMK, 7 ,Graduate Professional,54," 5,81,61,739 "," 1,04,39,982 "
Arumugam T,CPI(M),0,10th Pass,62," 32,52,479 ", 0 
Chandiran S,Indiya Jananayaka Katchi,0,Post Graduate,52," 1,01,33,094 "," 55,79,083 "
Dhamera Geetha,IND,0,8th Pass,41," 3,15,000 ", 0 
Jagan K,Pattali Makkal Katchi, 2 ,12th Pass,42," 2,90,30,500 "," 26,00,000 "
Kalaiselvan B,Naam Tamilar Katchi,0,12th Pass,28," 1,09,000 ", 0 
Palani Murugan V,IND,0,5th Pass,44," 1,74,189 "," 65,000 "
Rajasekar R,AIADMK,0,Graduate Professional,49," 12,02,51,405 "," 41,03,062 "
Velmurugan T,Tamizhaga Vaazhvurimai Katchi, 4 ,12th Pass,46," 1,46,69,936 "," 42,00,000 "
