Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ramachandran.k.k.s.s.r.    ,DMK, 3 ,8th Pass,67," 3,22,55,670 "," 1,39,17,231 "
Aravind Kumar D.,Pattali Makkal Katchi,0,Post Graduate,28," 3,85,812 ", 0 
Doctor Vaigaichelvan,AIADMK, 1 ,Doctorate,48," 1,02,39,488 "," 2,00,000 "
Nagendran.,Naam Tamilar Katchi,0,8th Pass,38," 3,93,367 ", 0 
Senthil Kumar.s,CPI,0,Graduate Professional,31," 36,43,030 "," 1,00,000 "
"Suriyamaharaja, R.",LJP,0,10th Pass,46," 8,06,000 ", 0 
"Veeralakshmi, M.",Tamizhaga Vaazhvurimai Katchi,0,10th Pass,27," 1,48,500 "," 50,000 "
Vetrivel.r,BJP,0,Graduate,39," 5,16,200 ", 0 
