Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Moorthiy. K. S    ,DMK,0,Graduate,53," 2,89,66,229 "," 71,40,347 "
Arul V,IND,0,12th Pass,45," 20,000 ", 0 
Deivasigamani G,Naam Tamilar Katchi,0,12th Pass,39," 26,20,533 ", 0 
Muthukumar . K,DMDK,0,Post Graduate,48," 4,31,92,831 "," 63,07,720 "
Rajendhiran. R,AIADMK,0,Post Graduate,51," 3,44,41,990 "," 25,96,844 "
Rajkumar. S,BJP, 5 ,10th Pass,26," 7,42,696 "," 21,071 "
Ramasamy . P,IND,0,12th Pass,51," 2,26,000 "," 78,000 "
Ramesh. Pon,Pattali Makkal Katchi, 3 ,Post Graduate,45," 17,50,000 "," 4,52,000 "
