Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Arasu R T    ,DMK,0,Graduate Professional,48," 5,55,53,723 "," 67,00,000 "
Ezhil Caroline,Viduthalai Chiruthaigal Katchi,0,Post Graduate,46," 5,33,94,639 "," 44,49,000 "
Kannan,Peoples Party of India(secular),0,Post Graduate,63," 1,16,000 ", 0 
Munusamy,IND,0,Illiterate,65," 13,500 ", 0 
Munusamy A,AIADMK,0,Post Graduate,50," 2,12,69,052 ", 0 
Ramesh,BSP, 1 ,8th Pass,36," 2,30,000 ", 0 
Sadaiyappan V,Pattali Makkal Katchi,0,8th Pass,65," 2,81,68,492 "," 62,50,000 "
Sampath P,BJP,0,12th Pass,42," 77,80,528 "," 70,000 "
Senthilkumar,IND,0,12th Pass,41," 3,95,000 ", 0 
