Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Manickam K    ,AIADMK, 2 ,Others,50," 17,27,69,290 "," 4,74,21,283 "
Bhavani.c,DMK,0,10th Pass,33," 12,63,667 "," 3,71,754 "
Jayakumar V.,BSP, 2 ,Graduate Professional,43," 5,000 "," 24,000 "
Kannan S.,Gandhiyan Peoples Party,0,Others,49," 24,45,733 "," 11,00,000 "
Muthaiah S,Pattali Makkal Katchi, 1 ,12th Pass,45," 1,13,80,875 ", 0 
Palanivelswamy S,BJP, 1 ,12th Pass,47," 7,14,000 "," 25,000 "
Periyakaruppan C.,AIFB, 1 ,Post Graduate,35," 40,59,546 "," 4,49,109 "
Sakthi C.,Naam Tamilar Katchi,0,Others,43," 4,09,432 "," 15,000 "
Silambarasan P,IND,0,10th Pass,30," 2,18,000 ", 0 
