Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Meyyanathan .siva .v    ,DMK, 1 ,Post Graduate,47," 88,58,088 "," 6,65,000 "
Arulmani .s,Pattali Makkal Katchi,0,Graduate Professional,42," 2,11,97,000 "," 62,50,000 "
Chandrasekaran . K,Marumalarchi Dravida Munnetra Kazhagam,0,Graduate,59," 3,61,92,389 "," 13,69,720 "
Gnana Kalaiselvan,AIADMK,0,Post Graduate,56," 1,47,29,382 ", 0 
Kala Durai,Naam Tamilar Katchi,0,10th Pass,42," 6,67,674 ", 0 
Rajendran .g,IND,0,12th Pass,35," 8,67,000 "," 1,06,000 "
Saravanan .a,Indiya Jananayaka Katchi,0,Others,41," 7,57,770 "," 2,54,300 "
Senthilraja .c,BSP,0,Others,42," 2,80,000 ", 0 
