Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Selvarasu M    ,AIADMK,0,8th Pass,49," 90,27,150 ", 0 
Asaithambi E,Naam Tamilar Katchi,0,10th Pass,33," 11,77,710 "," 10,78,138 "
Govindasamy R,IND,0,8th Pass,62," 7,50,000 "," 2,35,000 "
Kalaiselvan K,Tamizhaga Vaazhvurimai Katchi,0,Others,42," 5,06,000 ", 0 
Murugan A,IND,0,5th Pass,35," 15,17,000 ", 0 
Palanimuthu M,BSP,0,Others,45," 1,00,000 ", 0 
Ragavan S,Pattali Makkal Katchi,0,10th Pass,29," 3,51,000 "," 1,00,000 "
Vijaya Babu S,INC,0,Post Graduate,50," 30,70,015 "," 2,45,000 "
