Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Saraswathi.pon    ,AIADMK,0,Graduate,55," 8,38,67,803 "," 71,03,912 "
Elangoavan Bar,DMK, 1 ,Graduate Professional,61," 2,95,15,454 "," 1,56,95,131 "
Nagarajan S,BJP,0,Graduate Professional,56," 3,22,25,343 "," 17,23,431 "
Natarajan P,Naam Tamilar Katchi,0,Others,34," 18,46,740 "," 1,35,300 "
Raja S,Pattali Makkal Katchi,0,10th Pass,50," 36,15,934 "," 22,42,858 "
Viyajayakamal.j,DMDK,0,Post Graduate,37," 28,50,641 "," 4,09,116 "
