Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
B.anjugam,DMK,0,Post Graduate,29," 83,59,954 "," 11,01,228 "
G.kunjithapatham,Pattali Makkal Katchi,0,Post Graduate,44," 93,96,201 "," 11,22,224 "
M.rengasamy,AIADMK,0,Graduate Professional,60," 1,18,81,947 "," 23,93,972 "
M.s.ramalingam,BJP,0,12th Pass,60," 1,65,19,432 "," 1,79,000 "
Rajeshkannan A.,Tamilaga Makkal Munnetra Kazhagam, 1 ,Graduate Professional,37," 4,14,000 ", 0 
V.jeyaprakash,DMDK, 1 ,8th Pass,36," 1,04,02,000 "," 8,00,000 "
