Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Needipathi P    ,AIADMK,0,Graduate,49," 35,45,300 ", 0 
Baskara Sethupathy.a,Marumalarchi Dravida Munnetra Kazhagam,0,12th Pass,45," 11,73,88,210 ", 0 
G.iyndhukovilan,Naam Tamilar Katchi,0,Post Graduate,50," 1,05,000 ", 0 
Ilamakezhan.k,DMK,0,Graduate Professional,37," 36,89,959 ", 0 
Jeyakumar S.,Tamilaga Makkal Munnetra Kazhagam,0,Others,28," 1,40,000 ", 0 
Mahendran M.,BSP,0,10th Pass,51," 17,000 ", 0 
Murugan.t,Pattali Makkal Katchi,0,8th Pass,45," 90,000 ", 0 
Sangili.m,BJP, 3 ,Graduate Professional,34," 7,24,725 "," 3,14,700 "
