Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
"Sivasubramani , V.p.    ",AIADMK,0,8th Pass,56," 80,33,983 ", 0 
"Chinnamalai Krishnakumar, J.",BJP,0,Post Graduate,50," 11,39,58,817 "," 70,63,188 "
Lakshmi P,India Dravida Makkal Munnetra Katchi,0,5th Pass,46," 70,000 ", 0 
Nachimuthu,Pattali Makkal Katchi,0,Post Graduate,61," 18,25,165 ", 0 
"Parthiban, V.",BSP,0,Others,65," 69,09,841 "," 6,09,403 "
"Prakash, G.",Naam Tamilar Katchi,0,10th Pass,29," 1,44,408 "," 1,03,600 "
"Ramesh, M.",DMDK,0,Post Graduate,36," 33,58,982 ", 0 
"Sachidanandam, P.",DMK,0,Graduate,59," 7,39,93,791 "," 1,80,000 "
"Suriamoorthi, S.",Kongunadu Makkal Desia Katchi, 2 ,12th Pass,44," 46,85,531 "," 5,25,259 "
