Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Chinnathambi R M    ,AIADMK, 1 ,10th Pass,55," 31,86,371 "," 2,49,547 "
Adithyan K P,Viduthalai Chiruthaigal Katchi,0,10th Pass,40," 25,50,000 ", 0 
Amsaveni G,Pattali Makkal Katchi,0,Graduate,36," 24,43,277 "," 7,00,000 "
Arthanari S K,INC,0,Post Graduate,39," 67,64,930 "," 5,92,382 "
Jayaseelan R,Kongunadu Makkal Desia Katchi,0,12th Pass,37," 3,35,000 ", 0 
Mariyappan M P,BSP,0,8th Pass,61," 4,55,000 ", 0 
Murugesan C,SP,0,Others,40," 3,61,378 "," 28,500 "
Sathishbabu S,Naam Tamilar Katchi,0,Post Graduate,30," 5,000 ", 0 
Selladurai R,Indiya Jananayaka Katchi,0,Post Graduate,27," 8,92,500 ", 0 
