Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sundararaj.r    ,AIADMK,0,Graduate,49," 3,97,42,573 "," 62,99,099 "
Arumuganainar.s,DMDK,0,10th Pass,58," 1,67,38,648 "," 32,88,000 "
Dr.k.krishnasamy,Puthiya Tamilagam, 8 ,Post Graduate,63," 17,75,52,565 "," 1,59,93,222 "
Jeyaraman,IND,0,12th Pass,29," 1,10,000 ", 0 
Murugaperumal.r,Pattali Makkal Katchi,0,5th Pass,43," 2,28,500 "," 1,97,000 "
Perumal.v,IND,0,8th Pass,41," 1,85,000 ", 0 
Santhanakumar.a,BJP,0,Post Graduate,49," 19,00,866 ", 0 
