Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Panneerselvam V    ,AIADMK,0,10th Pass,44," 97,75,760 "," 70,00,000 "
Kalidass R,Pattali Makkal Katchi, 1 ,Graduate,53," 89,76,020 ", 0 
Kumar G,INC,0,12th Pass,48," 1,11,96,877 "," 30,15,066 "
Murugadass.k,Indiya Jananayaka Katchi, 1 ,Graduate Professional,45," 48,16,000 "," 18,50,000 "
Nehru M,DMDK,0,8th Pass,53," 3,36,50,254 "," 54,78,375 "
Pratheesh Kumar.r,SP,0,12th Pass,35," 4,72,000 ", 0 
Sankthivel.s,BSP,0,12th Pass,51," 1,25,500 ", 0 
