Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Manian.o.s    ,AIADMK,0,12th Pass,62," 1,13,08,289 "," 21,82,018 "
Murugavelu.s,BSP,0,Others,30," 15,000 ", 0 
Rajendiran.p.v,INC, 2 ,12th Pass,60," 11,95,47,588 "," 14,74,898 "
Susila.n,Tamizhaga Vaazhvurimai Katchi,0,Literate,32," 2,50,000 ", 0 
Usha Kannan,Pattali Makkal Katchi,0,Others,37," 12,82,796 "," 2,14,497 "
Vairavanathan.t,DMDK,0,Post Graduate,53," 1,04,85,742 "," 4,92,694 "
Vedarathinam.s.k,BJP,0,10th Pass,57," 84,38,350 "," 6,73,500 "
