Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Karunanidhi. M    ,DMK, 15 ,8th Pass,92," 62,99,35,576 "," 11,94,37,427 "
D.devakumar,IND,0,10th Pass,41," 13,23,500 "," 2,74,907 "
N.rengadass,BJP,0,12th Pass,67," 1,59,74,867 "," 55,48,294 "
R. Panneerselvam,AIADMK,0,Graduate,56," 4,50,22,260 "," 1,69,52,049 "
R.sivakumar,Pattali Makkal Katchi,0,Post Graduate,34," 11,30,472 "," 2,11,761 "
Saravanan .s,IND,0,12th Pass,35," 11,000 "," 30,000 "
