Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Masilamani R    ,DMK,0,Graduate Professional,65," 1,93,63,966 "," 1,97,096 "
Annadurai K,AIADMK,0,10th Pass,49," 95,69,616 "," 10,16,875 "
Balaji Ss,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,46," 1,89,38,883 "," 26,26,000 "
Elaiyaraja P,IND,0,10th Pass,40," 1,96,000 "," 1,30,000 "
Rajasekaran R,Pattali Makkal Katchi,0,Others,40," 13,19,73,151 "," 4,40,29,390 "
Ramadevi R,Indiya Jananayaka Katchi,0,8th Pass,35," 12,00,000 ", 0 
Stephanraj S,BSP,0,Others,46," 1,20,000 ", 0 
Vidjealatchoumy S,Naam Tamilar Katchi,0,8th Pass,54," 95,25,000 "," 13,00,000 "
