Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Chandra Prabha. M    ,AIADMK,0,Post Graduate,35," 40,24,268 "," 24,541 "
Lingam.p,CPI, 4 ,Graduate,50," 8,08,395 "," 30,056 "
Muthukumar.c,Puthiya Tamilagam,0,Post Graduate,32," 65,46,491 ", 0 
Ramasamy.i,BJP,0,Doctorate,43," 11,69,144 "," 4,50,000 "
Vellaisamy.v,Pattali Makkal Katchi,0,10th Pass,39," 16,19,798 "," 4,500 "
