Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Manoharan A    ,AIADMK,0,5th Pass,37," 26,66,971 "," 12,85,000 "
Kasipandiyan K,Pattali Makkal Katchi,0,10th Pass,51," 1,31,502 ", 0 
Manokaran M,IND,0,Illiterate,42,Nil, 0 
Nirmal Kumar M,BSP,0,10th Pass,63," 2,36,000 ", 0 
Palanisamy G,Naam Tamilar Katchi,0,Others,29," 10,91,500 ", 0 
Rajkumar N,BJP,0,Graduate Professional,41," 22,78,000 ", 0 
Samuthirakani R,CPI, 1 ,10th Pass,37," 6,72,380 "," 1,73,370 "
