Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ramar.e    ,DMK,0,10th Pass,65," 12,28,59,496 "," 63,27,283 "
Balasubramani.s,Pattali Makkal Katchi, 1 ,Graduate Professional,25," 2,07,360 ", 0 
Chandran.s,Tamilaga Makkal Munnetra Kazhagam,0,Others,30," 3,21,000 "," 1,37,000 "
Chandrasekaran.r,AIADMK,0,10th Pass,58," 2,43,68,498 "," 9,83,547 "
Jamuna Thangavel,DMDK,0,8th Pass,46," 20,60,200 "," 6,62,584 "
Sankamadai Ashok Kumar.s,Kongunadu Makkal Desia Katchi,0,Graduate,38," 22,00,000 "," 7,10,000 "
Shathakathullah.n.k.n,BJP,0,5th Pass,53," 6,00,000 ", 0 
