Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Anitha R Radhakrishnan    ,DMK, 16 ,10th Pass,65," 4,09,76,330 ", 0 
Jeyaraman.v,BJP,0,Graduate,37," 4,24,55,280 "," 1,15,36,973 "
Kumara Gurupara Adithan D.,Pattali Makkal Katchi,0,Graduate,48," 84,80,000 "," 21,42,500 "
Sarathkumar.r,AIADMK, 2 ,Graduate,61," 64,32,10,358 "," 17,63,96,017 "
