Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sakthivel A B    ,AIADMK,0,12th Pass,45," 1,04,79,524 "," 4,70,000 "
Annadurai N,BJP,0,12th Pass,48," 29,48,620 ", 0 
Elango R C,Kongunadu Makkal Desia Katchi,0,5th Pass,50," 2,47,000 "," 10,000 "
Gunasekaran M,DMK, 2 ,Post Graduate,61," 2,83,35,287 "," 28,66,601 "
Kumar K,Pattali Makkal Katchi,0,Graduate Professional,47," 47,31,837 ", 0 
Mahalingam N,United Communist Party of India,0,10th Pass,55," 1,51,710 ", 0 
Prema B,Naam Tamilar Katchi,0,Illiterate,42," 2,98,000 ", 0 
Ramesh Kumar N,NCP,0,Graduate,50," 11,31,000 ", 0 
Solarajan M,BSP,0,Graduate,31," 26,000 ", 0 
