Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Chitra.g    ,AIADMK,0,5th Pass,35," 26,84,757 ", 0 
Arivukkannu.c,IND,0,Illiterate,30," 41,91,000 "," 1,00,000 "
Chitra.r,IND,0,10th Pass,31," 1,11,000 ", 0 
Kumar.c,DMDK,0,8th Pass,36," 5,86,000 "," 94,000 "
Pon Rasa,BJP,0,12th Pass,40," 22,72,800 "," 2,33,000 "
Prabhavathy.l,Kongunadu Makkal Desia Katchi,0,Others,26," 8,46,000 ", 0 
Selvam.r,Pattali Makkal Katchi,0,8th Pass,43," 8,70,000 ", 0 
Sengottuvel.t,Naam Tamilar Katchi,0,12th Pass,32," 3,31,846 "," 1,39,000 "
Tamil Selvan C,DMK,0,5th Pass,45," 1,25,54,722 "," 10,96,003 "
