Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Thiru O.panneerselvam    ,AIADMK,0,12th Pass,65," 1,53,65,075 "," 25,00,735 "
A.ramakrishnan,Pattali Makkal Katchi,0,8th Pass,39," 46,30,000 "," 4,90,000 "
A.veerabadran,DMDK,0,Post Graduate,46," 2,48,96,577 "," 75,65,200 "
S. Lakshmanan,DMK,0,Others,44," 1,68,71,873 "," 1,33,32,413 "
V. Venkateswaran,BJP,0,Graduate,49," 2,06,19,408 "," 24,71,277 "
