Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
V.kasthuri Vasu    ,AIADMK,0,10th Pass,57," 70,14,358 "," 1,57,000 "
Anbazhagan.v,Kongunadu Makkal Desia Katchi, 1 ,Illiterate,49," 57,578 "," 16,200 "
Manibharathi.p,CPI,0,10th Pass,51," 2,24,005 "," 68,000 "
Murugesan.p,BJP, 1 ,Others,45," 40,000 ", 0 
Paulpandi. T,DMK,0,Graduate Professional,45," 61,48,861 "," 6,03,500 "
Saraladevi.m,Naam Tamilar Katchi,0,Doctorate,34," 26,23,026 "," 20,95,000 "
Selvaraj. T,IND,0,10th Pass,32," 3,97,884 ", 0 
Singaravel U.,Pattali Makkal Katchi,0,8th Pass,39," 14,85,300 "," 3,10,000 "
