Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
P.v.bharathi    ,AIADMK,0,Graduate,57," 1,03,64,167 "," 75,000 "
Gajendran.k,BSP,0,Graduate Professional,38," 4,18,820 "," 3,23,000 "
Jothi.b,Naam Tamilar Katchi,0,Graduate,37," 3,04,000 "," 1,44,000 "
Kalaivani.p,SHS,0,12th Pass,40," 6,30,000 ", 0 
M.r.s.elavazhalagan,BJP,0,10th Pass,56," 5,21,500 ", 0 
Pon.muthukumar,Pattali Makkal Katchi,0,12th Pass,46," 8,35,000 ", 0 
R.umanath,DMDK,0,Graduate Professional,43," 76,70,439 "," 10,83,431 "
S.killai Ravindran,DMK,0,Post Graduate,47," 4,28,58,000 "," 3,25,00,000 "
Sasidharan.m,Valamaana Tamizhagam Katchi,0,Graduate,35," 11,96,000 ", 0 
