Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Adalarasan P    ,DMK,0,Post Graduate,34," 70,56,441 ", 0 
Rajmohan,Pattali Makkal Katchi,0,12th Pass,47," 8,39,000 ", 0 
Udhayakumar,BJP,0,12th Pass,56," 21,23,000 "," 5,77,000 "
Umamaheswari,AIADMK, 1 ,12th Pass,43," 36,92,959 "," 23,14,000 "
