Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Palani. K    ,AIADMK,0,5th Pass,54," 56,92,322 ", 0 
Chandran.n,BSP,0,Graduate,31," 75,000 ", 0 
Manoharan.m,BJP,0,Graduate,54," 45,04,906 "," 1,74,500 "
Muthuraman.c,Pattali Makkal Katchi, 1 ,12th Pass,37," 1,16,20,000 "," 25,00,000 "
Rajesh.v,CPI(ML)(L), 1 ,10th Pass,29," 3,35,509 ", 0 
Ravi.m,LJP,0,Post Graduate,35," 47,15,000 "," 27,61,400 "
Selvam.k Alias Selvaperunthagai,INC, 3 ,Graduate Professional,56," 22,68,46,720 "," 1,37,50,466 "
Sivaranjini.b,Naam Tamilar Katchi,0,10th Pass,27," 2,98,000 ", 0 
Veerakumar.m,Viduthalai Chiruthaigal Katchi, 1 ,10th Pass,43," 8,34,87,994 "," 1,24,38,692 "
