Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
S.p. Shunmuganathan    ,AIADMK, 4 ,8th Pass,61," 2,27,75,432 "," 2,06,465 "
Chinnadurai K.,LJP,0,10th Pass,55," 10,20,500 ", 0 
Deva Priyan C.,Tamilaga Makkal Munnetra Kazhagam,0,Graduate,36," 6,85,000 ", 0 
Essaki E.,SHS,0,Illiterate,42," 5,10,500 ", 0 
Lingaraj G,Pattali Makkal Katchi, 2 ,Graduate,37," 25,00,000 ", 0 
Rani Venkatesan V,INC,0,Graduate,60," 56,41,32,000 "," 1,60,00,000 "
Selvaraj S,BJP, 1 ,8th Pass,58," 28,73,302 "," 30,382 "
Subbiah Pandian P.,Naam Tamilar Katchi,0,10th Pass,39," 19,38,500 "," 10,28,300 "
