Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Govindarasu M    ,AIADMK,0,10th Pass,65," 72,09,474 "," 11,84,874 "
Ashok Kumar N,DMK,0,10th Pass,59," 4,25,35,512 "," 13,98,000 "
Balu Av,IND,0,Post Graduate,32," 23,79,000 "," 18,09,692 "
Elango R,BJP, 3 ,12th Pass,42," 1,96,28,605 "," 23,30,000 "
Thamayanthi T.,CPI,0,5th Pass,51," 15,66,753 "," 12,000 "
Thiyagarajan P,Pattali Makkal Katchi,0,Graduate,40," 19,01,266 "," 12,72,000 "
