Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rajan Chellappa V.v    ,AIADMK,0,Post Graduate,66," 5,73,76,403 "," 1,85,95,201 "
Aasai Kumar,Pattali Makkal Katchi, 2 ,8th Pass,31," 45,55,000 ", 0 
Karthikeyan V,INC,0,10th Pass,39," 2,93,48,883 "," 1,14,51,000 "
Mujupur Rahuman,DMDK, 1 ,Graduate,44," 1,01,03,666 "," 6,31,675 "
Voltaire,SUCI(C),0,Post Graduate,48," 57,466 ", 0 
