Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Durai.chandrasekaran    ,DMK, 2 ,Graduate Professional,56," 2,22,01,072 "," 5,42,982 "
K.r.shanmugham,Naam Tamilar Katchi,0,Graduate Professional,43," 27,000 ", 0 
M.g.m.subramanian,AIADMK,0,Graduate,67," 44,22,576 "," 99,255 "
R.kanakaraj,Pattali Makkal Katchi,0,12th Pass,40," 13,63,000 ", 0 
S.simyon Xavier Raj,Indiya Jananayaka Katchi,0,8th Pass,44," 97,25,000 "," 2,29,000 "
V.jeevakumar,CPI(M),0,Graduate Professional,53," 42,95,000 ", 0 
