Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
"Kothandapani, M.    ",AIADMK,0,Graduate,57," 2,40,70,200 "," 4,50,000 "
Ellalan Yusuf.i,Naam Tamilar Katchi,0,Others,28," 9,78,000 "," 19,200 "
Kumar.v,SHS,0,Not Given,44," 11,93,077 ", 0 
"Rangaswamy, V.g.",BJP,0,Graduate,59," 7,08,15,772 ", 0 
"Sathya, C.e.",Marumalarchi Dravida Munnetra Kazhagam,0,Graduate,52," 2,05,94,734 "," 28,50,000 "
Vasu. K,Pattali Makkal Katchi, 2 ,10th Pass,50," 72,62,350 "," 7,25,000 "
Victor John. J,BSP,0,Graduate,32," 14,03,062 ", 0 
Viswanathan. V,DMK,0,10th Pass,57," 1,48,64,992 "," 37,60,313 "
