Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Andi Ambalam M.a    ,DMK,0,12th Pass,60," 48,15,161 "," 5,94,296 "
Karthikeyan G,DMDK,0,Not Given,50," 3,16,64,875 ", 0 
Pandi C,Rashtriya Samaj Paksha,0,Graduate,26," 1,81,000 ", 0 
Sandhanakrishan M,Indiya Jananayaka Katchi,0,8th Pass,45," 7,18,000 ", 0 
Seerangan K,Pattali Makkal Katchi,0,10th Pass,56," 21,23,042 "," 5,41,260 "
Shajahan S,AIADMK,0,Graduate,67," 1,17,94,500 "," 20,43,000 "
Sivasankaran V,Naam Tamilar Katchi,0,Doctorate,30," 31,42,500 "," 1,90,355 "
Venkatesan G,IND,0,10th Pass,44," 6,54,682 ", 0 
