Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Durai.k.saravanan    ,DMK,0,Post Graduate,49," 1,35,43,270 ", 0 
Ashokkumar,Pattali Makkal Katchi,0,Doctorate,39," 85,22,575 "," 19,44,481 "
Muthu A,BJP,0,Graduate Professional,53," 77,25,213 "," 17,43,796 "
Nithiyanandan P,BSP,0,Graduate,43," 8,15,000 ", 0 
Rathinavel Ra,Naam Tamilar Katchi,0,10th Pass,41," 5,18,95,000 "," 2,42,52,000 "
Selvi Ramajayam,AIADMK,0,10th Pass,49," 1,79,08,116 "," 62,93,430 "
Sinthanai Selvan,Viduthalai Chiruthaigal Katchi,0,10th Pass,51," 60,96,314 "," 5,00,000 "
