Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sathya.p    ,AIADMK,0,5th Pass,43," 82,09,577 "," 66,49,787 "
Dharmalingam.a,Pattali Makkal Katchi, 4 ,Others,42," 1,46,78,698 "," 1,00,370 "
Ponkumar,DMK,0,Graduate,60," 9,61,58,634 "," 1,62,47,962 "
Saravanan S.r,BJP,0,Graduate,39," 13,39,564 ", 0 
Sivakolundhu.p,DMDK,0,5th Pass,49," 23,84,704 "," 2,20,000 "
Srikanthu.s,BSP,0,10th Pass,32," 2,15,900 ", 0 
